german_noun,gender,translation,level
Abbau,der,"reduction, decline, degradation, mining, dismantling",
Abbildung,die,"illustration, image, picture",B1
Abend,der,evening,A1
Abendessen,das,"evening meal, supper, dinner",
Abenteuer,das,adventure,B1
Aberglaube,der,superstition,
Abfahrt,die,departure,A1
Abfall,der,"waste, garbage, trash, drop, dip",B1
Abfalleimer,der,"waste bin, trash can, garbage can",B1
Abflug,der,"departure, takeoff",A1
Abgas,das,"exhaust gas, waste gas, exhaust fumes",B1
Abgeordnete,der,"member of parliament, member of congress",
Abhängigkeit,die,"dependence, dependency, addiction",
Abitur,das,"school leaving exam, A levels",A2
Abkommen,das,agreement,
Abkürzung,die,"abbreviation, short cut",
Ablauf,der,"procedure, process, expiration, expiry",
Ablehnung,die,"refusal, rejection, disapproval, objection, denial",
Ablenkung,die,"diversion, distraction, deflection",
Abnahme,die,"drop, decrease, decline, reduction, approval",
Abonnement,das,subscription,B1
Abreise,die,departure,
Abreisetag,der,"departure day, day of departure",
Absage,die,"refusal, rejection, cancellation",
Absatz,der,"paragraph, heel, sales",
Abschied,der,"departure, leave, parting, farewell, goodbye",B1
Abschluss,der,"conclusion, completion, end, degree, graduation",B1
Abschnitt,der,"portion, section, paragraph, clause, phase",B1
Abschreibung,die,"deduction, depreciation, write-off, write-down",
Absender,der,"sender, shipper",A1
Absicht,die,"intention, intent, purpose",B1
Absolvent,der,graduate,
Abstand,der,"distance, gap, spacing, interval, margin",
Abstimmung,die,"vote, coordination, reconciliation",
Absturz,der,crash,
Abteilung,die,department,B1
Abwehr,die,"defence, defense",
Abzieher,der,"puller, squeegee",
Achse,die,"axle, axis",
Achtung,die,"attention, caution, respect",A1
Adresse,die,address,A1
Affäre,die,"affair, fling",
Affe,der,"monkey, ape",B1
Afrika,das,Africa,
Agentur,die,agency,
Aggressivität,die,"aggression, aggressiveness",
Ahnung,die,"suspicion, idea",A2
Akademie,die,academy,
Akku,der,"battery, accumulator",
Akt,der,"act, nude (painting)",
Akte,die,"file, record",
Akteur,der,"player, actor",
Aktie,die,share,
Aktion,die,"action, campaign, promotion",B1
Aktivität,die,activity,B1
Alarm,der,"alarm, alert",B1
Albtraum/Alptraum,der,nightmare,
Album,das,album,
Alkohol,der,alcohol,B1
Allergie,die,allergy,
Allianz,die,alliance,
Alltag,der,"everyday life, dayly life, daily routine",B1
Alphabet,das,alphabet,B1
Altar,der,altar,
Altenheim/Altersheim,das,"retirement home, old people's home",B1
Alter,das,"age, old age",A1
Alternative,die,alternative,B1
Ameise,die,ant,
Amerika,das,America,
Amerikaner,der,American,
Ampel,die,traffic light(s),A2
Amt,das,"office, department, function, post, position",B1
Analyse,die,analysis,
Ananas,die,pineapple,
Anbieter,der,"supplier, provider, vendor",B1
Anblick,der,sight,
Änderung,die,"change, modification, alteration, amendment",B1
Anerkennung,die,"recognition, acknowledgement, appreciation",
Anfang,der,"beginning, start",A1
Anfänger,der,"beginner, novice",
Anforderung,die,"requirement, request, demand",
Anfrage,die,"inquiry, request, query",
Angabe,die,"information, indication, statement, specification",B1
Angebot,das,"offer, range, quote, supply",A1
Angehörige,der,"member, relative",B1
Angeklagter,der,"accused, defendant",
Angelegenheit,die,"matter, affair, business",
Angestellte,der,employee,A2
Angriff,der,"attack, assault",
Angst,die,"fear, anxiety",A2
Anhänger,der,"supporter, follower, trailer, pendant, tag",
Ankunft,die,arrival,A1
Anlage,die,"plant, facility, system, complex, investment",B1
Anlass,der,"occasion, event, reason, cause",
Anleitung,die,"instruction, directions, guidance, manual, tutorial",B1
Anliegen,das,"request, concern, matter",
Anmeldung,die,"application, registration, login, enrolment",A1
Annahme,die,"acceptance, assumption",
Annonce,die,"advertisement, ad(vert)",B1
Anordnung,die,"order, arrangement, formation",
Anpassung,die,"adaptation, adaption, customization, adjustment",
Anrede,die,"salutation, title, address",A1
Anregung,die,"stimulus, stimulation, idea, suggestion",
Anreise,die,"journey, arrival",
Anruf,der,"call, phone call, telephone call",A1
Anrufbeantworter,der,"answering machine, voice mail",A1
Ansage,die,announcement,A1
Ansatz,der,"approach, estimate, hairline",
Anschlag,der,attack,
Anschluss,der,"connection, port",A1
Anschrift,die,address,
Ansicht,die,"opinion, view",
Anspannung,die,"strain, tension, exertion",
Anspruch,der,"claim, entitlement",B1
Anstieg,der,"rise, increase, ascent, surge",
Anstrengung,die,"effort, exertion",
Anteil,der,"share, portion, proportion, percentage, stake",
Anteilnahme,die,"sympathy, condolence, compassion, participation",
Antibiotikum,das,antibiotic,
Antrag,der,"application, request, petition",B1
Antragsteller,der,applicant,
Antwort,die,"answer, reply, response",A1
Antwortbogen,der,"questionnaire, answer sheet",A2
Anwalt,der,"lawyer, attorney, solicitor, advocate",B1
Anweisung,die,"instruction, order",
Anwendung,die,"application, use",
Anwesenheit,die,"presence, attendance",
Anzahl,die,"number, amount, quantity, count",B1
Anzeige,die,"display, advertisement",A1
Anzug,der,suit,A2
Apartment/Appartement,das,"apartment, flat",A1
Apfel,der,apple,A1
Apotheke,die,"pharmacy, chemist's (shop), drugstore, dispensary",A2
Apotheker,der,"pharmacist, chemist, apothecary, druggist",
Apparat,der,"apparatus, device, machine, phone, camera",A2
Appetit,der,appitite,A1
Applikation,die,application,
Aprikose,die,apricot,B1
April,der,April,A1
Araber,der,Arab,
Arbeit,die,"work, job, labour, labor, paper",A1
Arbeiter,der,worker,B1
Arbeitgeber,der,employer,
Arbeitnehmer,der,employee,
Arbeitsamt,das,"employment office, job centre",
Arbeitserlaubnis,die,work permit,B1
Arbeitskraft,die,"work capacity, worker, manpower",
Arbeitslosigkeit,die,unemployment,B1
Arbeitsmarkt,der,"labour market, job market",
Arbeitsplatz,der,"job, workplace",A1
Arbeitsstelle,die,"job, workplace",B1
Arbeitstag,der,"working day, workday",A2
Arbeitsverhältnis,das,"employment relationship, working relationship",
Arbeitszeit,die,"working hours, working time",
Arbeitszimmer,das,study,
Architekt,der,architect,B1
Architektur,die,architecture,
Ärger,der,"annoyance, trouble, anger, hassle, bother",B1
Argument,das,argument,
Arm,der,arm,A1
Armee,die,army,
Ärmel,der,sleeve,
Armut,die,poverty,
Aroma,das,"aroma, flavour, flavor",
Arsch,der,"arse, ass, butt, asshole",
Art,die,"kind, type, sort, way, nature, species",B1
Artikel,der,"article, item, product",A2
Arzneimittel,das,"medicine, drugs",
Arzt,der,"doctor, physician, practitioner",A1
Ärztin,die,"physician (female), doctor (female)",A1
Asien,das,Asia,
Aspekt,der,aspect,
Ass,das,ace,
Assistant,der,"assistant, wizard",
Ast,der,"branch, bough, limb",
Astronaut,der,astronaut,
Asyl,das,asylum,B1
Atem,der,"breath, breathing",B1
Atmosphäre,die,atmosphere,
Atom,das,atom,
Aubergine,die,"aubergine, eggplant",
Aufbau,der,"construction, structure, building, assembly, development",
Aufenthalt,der,"stay, residence",B1
Auffassung,die,"point of view, opinion, conception",
Aufforderung,die,"demand, order, request, invitation",B1
Aufführung,die,performance,
Aufgabe,die,"task, assignment, job",A1
Aufklärung,die,"enlightenment, solution, resolution, clarification",
Auflage,die,"edition, condition, plating, circulation, number of copies",
Auflösung,die,"resolution, dissolving, breaking up",
